epoch,lr-SGD,step,train_bbox_regression_epoch,train_classification_epoch,train_loss_epoch,val_bbox_regression,val_classification,val_loss
,0.001,0,,,,,,
0,,1,,,,0.4960927665233612,0.48103243112564087,0.9771251678466797
0,,1,0.4377059042453766,0.41637277603149414,0.8540787100791931,,,
,0.001,2,,,,,,
1,,3,,,,0.49492260813713074,0.4778842628002167,0.9728068709373474
1,,3,0.4051722288131714,0.3809559643268585,0.7861281633377075,,,
,0.001,4,,,,,,
2,,5,,,,0.49536368250846863,0.4601888358592987,0.9555525183677673
2,,5,0.38532721996307373,0.3581051826477051,0.7434324026107788,,,
,0.001,6,,,,,,
3,,7,,,,0.5013571977615356,0.48662322759628296,0.9879804253578186
3,,7,0.3695102035999298,0.32115012407302856,0.6906603574752808,,,
,0.001,8,,,,,,
4,,9,,,,0.5118056535720825,0.5182502865791321,1.0300559997558594
4,,9,0.3639000654220581,0.3116682767868042,0.6755684018135071,,,
