epoch,lr-SGD,step,train_bbox_regression_epoch,train_classification_epoch,train_loss_epoch,val_bbox_regression,val_classification,val_loss
,0.001,0,,,,,,
0,,4,,,,2.212482452392578,0.7617826461791992,2.9742650985717773
0,,4,0.45808762311935425,0.562533974647522,1.0206215381622314,,,
,0.001,5,,,,,,
1,,9,,,,2.2083725929260254,0.7302627563476562,2.9386353492736816
1,,9,0.42780551314353943,0.3727666735649109,0.8005722165107727,,,
,0.001,10,,,,,,
2,,14,,,,2.1998143196105957,0.7394335865974426,2.9392480850219727
2,,14,0.4107111096382141,0.3414440155029297,0.7521551251411438,,,
,0.001,15,,,,,,
3,,19,,,,2.2135772705078125,0.7722577452659607,2.985835075378418
3,,19,0.3921052813529968,0.32466772198677063,0.7167729735374451,,,
,0.001,20,,,,,,
4,,24,,,,2.21187162399292,0.7832435965538025,2.995115280151367
4,,24,0.3842725455760956,0.30576401948928833,0.6900365948677063,,,
